instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32
mcs10_b03_s100_AB00 327264 1000000 2221 579330
mcs10_b03_s100_AB01 1000000 1000000 297806 1000001
mcs10_b03_s100_AB02 1000000 1000000 174183 1000001
mcs10_b03_s100_AB03 1000000 1000000 619085 1000001
mcs10_b03_s100_AB04 705694 1000000 5452 1000003
mcs10_b03_s100_AB05 1000000 1000000 73811 1000002
mcs10_b03_s100_AB06 1000000 206306 35232 124374
mcs10_b03_s100_AB07 1000000 1000000 362986 1000001
mcs10_b03_s100_AB08 1000000 1000000 376039 1000002
mcs10_b03_s100_AB09 1000000 1000000 74387 1000003
mcs10_b03_s40_AB00 32 219 11 32
mcs10_b03_s40_AB01 32 192 12 30
mcs10_b03_s40_AB02 44 66 14 18
mcs10_b03_s40_AB03 101 177 30 42
mcs10_b03_s40_AB04 211 84 32 32
mcs10_b03_s40_AB05 434 643 55 100
mcs10_b03_s40_AB06 58 344 20 212
mcs10_b03_s40_AB07 1944 155 57 19
mcs10_b03_s40_AB08 82 78 24 25
mcs10_b03_s40_AB09 55 184 20 32
mcs10_b03_s50_AB00 5059 7489 319 316
mcs10_b03_s50_AB01 138673 23738 2241 2925
mcs10_b03_s50_AB02 124696 76407 4914 9695
mcs10_b03_s50_AB03 3703 4389 203 864
mcs10_b03_s50_AB04 18194 8979 707 2179
mcs10_b03_s50_AB05 734 4099 56 349
mcs10_b03_s50_AB06 17201 20177 1137 2312
mcs10_b03_s50_AB07 121544 27584 7139 11722
mcs10_b03_s50_AB08 10473 1262 577 169
mcs10_b03_s50_AB09 14937 7740 447 2058
mcs10_b03_s60_AB00 3406 3450 167 990
mcs10_b03_s60_AB01 75 992 22 571
mcs10_b03_s60_AB02 9124 8615 122 952
mcs10_b03_s60_AB03 318 6740 43 5895
mcs10_b03_s60_AB04 761 2150 51 590
mcs10_b03_s60_AB05 43993 12915 1493 2757
mcs10_b03_s60_AB06 4824 14925 251 1378
mcs10_b03_s60_AB07 2862 18871 246 16339
mcs10_b03_s60_AB08 1598 12650 142 5266
mcs10_b03_s60_AB09 38974 5134 1711 3793
mcs10_b03_s70_AB00 12000 81860 496 11024
mcs10_b03_s70_AB01 5000 115400 403 29746
mcs10_b03_s70_AB02 197235 123691 4048 29403
mcs10_b03_s70_AB03 223752 1000000 6627 147632
mcs10_b03_s70_AB04 481465 425926 11557 40947
mcs10_b03_s70_AB05 4991 312752 403 51305
mcs10_b03_s70_AB06 464049 899568 15051 211865
mcs10_b03_s70_AB07 10314 92538 730 1759
mcs10_b03_s70_AB08 491252 569776 14491 119258
mcs10_b03_s70_AB09 7972 282782 547 76609
mcs10_b03_s80_AB00 1000000 1000000 67041 1000003
mcs10_b03_s80_AB01 1000000 1000000 1000002 1000005
mcs10_b03_s80_AB02 1000000 1000000 139637 1000002
mcs10_b03_s80_AB03 1000000 1000000 501560 1000003
mcs10_b03_s80_AB04 1000000 1000000 36458 1000002
mcs10_b03_s80_AB05 1000000 1000000 439342 840917
mcs10_b03_s80_AB06 958986 1000000 47444 1000002
mcs10_b03_s80_AB07 1000000 37797 116845 7441
mcs10_b03_s80_AB08 1000000 1000000 60986 1000002
mcs10_b03_s80_AB09 1000000 1000000 485343 1000001
mcs10_b03_s90_AB00 1000000 1000000 1000002 1000001
mcs10_b03_s90_AB01 1000000 1000000 1000002 1000001
mcs10_b03_s90_AB02 1000000 1000000 1000002 1000001
mcs10_b03_s90_AB03 1000000 1000000 1000002 1000002
mcs10_b03_s90_AB04 1000000 1000000 1000001 1000001
mcs10_b03_s90_AB05 1000000 1000000 1000002 1000001
mcs10_b03_s90_AB06 1000000 1000000 1000002 1000001
mcs10_b03_s90_AB07 1000000 1000000 1000002 1000001
mcs10_b03_s90_AB08 1000000 1000000 1000002 1000001
mcs10_b03_s90_AB09 1000000 1000000 1000002 1000002
mcs10_b03m_s100_AB00 1000000 1000000 145150 1000001
mcs10_b03m_s100_AB01 573589 1000000 18654 1000002
mcs10_b03m_s100_AB02 840054 1000000 59562 1000003
mcs10_b03m_s100_AB03 1000000 1000000 112797 1000001
mcs10_b03m_s100_AB04 1000000 1000000 100997 1000001
mcs10_b03m_s100_AB05 1000000 1000000 465064 1000001
mcs10_b03m_s100_AB06 30627 1000000 852 1000002
mcs10_b03m_s100_AB07 53486 1000000 4799 770581
mcs10_b03m_s100_AB08 1000000 1000000 221952 1000002
mcs10_b03m_s100_AB09 1000000 1000000 1000006 1000003
mcs10_b03m_s40_AB00 129 28 14 8
mcs10_b03m_s40_AB01 54 62 20 18
mcs10_b03m_s40_AB02 30 48 11 37
mcs10_b03m_s40_AB03 17 464 18 88
mcs10_b03m_s40_AB04 73 331 29 75
mcs10_b03m_s40_AB05 95 91 24 36
mcs10_b03m_s40_AB06 81 382 38 61
mcs10_b03m_s40_AB07 28 15 13 11
mcs10_b03m_s40_AB08 41 73 22 42
mcs10_b03m_s40_AB09 623 428 73 274
mcs10_b03m_s50_AB00 9070 1521 762 295
mcs10_b03m_s50_AB01 17230 1333 458 157
mcs10_b03m_s50_AB02 25662 3765 499 807
mcs10_b03m_s50_AB03 38474 29053 941 3170
mcs10_b03m_s50_AB04 4839 1784 284 308
mcs10_b03m_s50_AB05 4223 3939 269 2018
mcs10_b03m_s50_AB06 4317 242 287 104
mcs10_b03m_s50_AB07 25529 2161 1084 779
mcs10_b03m_s50_AB08 313274 3881 10458 1939
mcs10_b03m_s50_AB09 79675 152292 2145 9399
mcs10_b03m_s60_AB00 694 4515 49 2301
mcs10_b03m_s60_AB01 357 18202 54 6123
mcs10_b03m_s60_AB02 14217 1281 273 138
mcs10_b03m_s60_AB03 988 1429 116 709
mcs10_b03m_s60_AB04 26194 16840 921 4022
mcs10_b03m_s60_AB05 1358 674 120 275
mcs10_b03m_s60_AB06 519 10773 51 7119
mcs10_b03m_s60_AB07 155 3575 33 1535
mcs10_b03m_s60_AB08 4241 4694 301 2148
mcs10_b03m_s60_AB09 3045 1293 207 649
mcs10_b03m_s70_AB00 531507 8191 2132 2173
mcs10_b03m_s70_AB01 1000000 243165 78817 50732
mcs10_b03m_s70_AB02 252776 97888 14483 45830
mcs10_b03m_s70_AB03 22044 1000000 1164 1000001
mcs10_b03m_s70_AB04 942771 213849 29327 69763
mcs10_b03m_s70_AB05 223298 305943 13272 25361
mcs10_b03m_s70_AB06 1000000 1000000 26003 354396
mcs10_b03m_s70_AB07 1000000 453936 246797 78794
mcs10_b03m_s70_AB08 1000000 14451 140515 5209
mcs10_b03m_s70_AB09 531314 1000000 21440 917573
mcs10_b03m_s80_AB00 1000000 1000000 118919 1000002
mcs10_b03m_s80_AB01 1000000 268256 316290 152962
mcs10_b03m_s80_AB02 1000000 1000000 56147 1000001
mcs10_b03m_s80_AB03 1000000 1000000 536818 1000001
mcs10_b03m_s80_AB04 1000000 1000000 1000002 767109
mcs10_b03m_s80_AB05 1000000 1000000 1000002 1000004
mcs10_b03m_s80_AB06 1000000 1000000 599467 1000002
mcs10_b03m_s80_AB07 1000000 1000000 202672 134735
mcs10_b03m_s80_AB08 1000000 1000000 1000007 1000001
mcs10_b03m_s80_AB09 1000000 1000000 1000010 1000002
mcs10_b03m_s90_AB00 1000000 1000000 1000002 1000001
mcs10_b03m_s90_AB01 1000000 1000000 316554 1000003
mcs10_b03m_s90_AB02 1000000 1000000 1000002 1000001
mcs10_b03m_s90_AB03 1000000 1000000 1000002 1000001
mcs10_b03m_s90_AB04 1000000 1000000 1000002 1000001
mcs10_b03m_s90_AB05 1000000 1000000 1000002 1000005
mcs10_b03m_s90_AB06 1000000 1000000 1000002 1000001
mcs10_b03m_s90_AB07 1000000 1000000 1000002 1000001
mcs10_b03m_s90_AB08 1000000 1000000 1000002 1000002
mcs10_b03m_s90_AB09 1000000 1000000 1000002 1000001
mcs10_b06_s100_AB00 53390 1000000 1934 1000002
mcs10_b06_s100_AB01 465279 1000000 15809 1000001
mcs10_b06_s100_AB02 27393 1000000 1030 1000001
mcs10_b06_s100_AB03 956514 1000000 35399 1000002
mcs10_b06_s100_AB04 28886 1000000 1094 961998
mcs10_b06_s100_AB05 313749 1000000 8619 552241
mcs10_b06_s100_AB06 16395 1000000 956 500884
mcs10_b06_s100_AB07 218805 1000000 8376 1000005
mcs10_b06_s100_AB08 118916 1000000 3837 1000002
mcs10_b06_s100_AB09 13198 571838 433 469994
mcs10_b06_s70_AB00 7305 356242 380 152112
mcs10_b06_s70_AB01 1761 25948 118 10102
mcs10_b06_s70_AB02 10023 419792 405 365108
mcs10_b06_s70_AB03 1205 28609 104 14424
mcs10_b06_s70_AB04 1933 72127 116 23973
mcs10_b06_s70_AB05 6116 73175 279 38790
mcs10_b06_s70_AB06 7086 88363 347 48335
mcs10_b06_s70_AB07 3730 31842 216 11868
mcs10_b06_s70_AB08 38197 74320 1346 50020
