instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32
mcs10_b03_s100_AB00 65 1 73 6
mcs10_b03_s100_AB01 73 1 72 5
mcs10_b03_s100_AB02 79 1 81 5
mcs10_b03_s100_AB03 67 1 71 6
mcs10_b03_s100_AB04 82 1 80 4
mcs10_b03_s100_AB05 68 2 71 3
mcs10_b03_s100_AB06 66 1 70 3
mcs10_b03_s100_AB07 65 1 68 4
mcs10_b03_s100_AB08 75 1 60 4
mcs10_b03_s100_AB09 75 1 58 4
mcs10_b03_s40_AB00 20 0 20 4
mcs10_b03_s40_AB01 18 0 20 2
mcs10_b03_s40_AB02 18 0 17 3
mcs10_b03_s40_AB03 19 0 23 2
mcs10_b03_s40_AB04 18 0 23 3
mcs10_b03_s40_AB05 19 0 22 2
mcs10_b03_s40_AB06 18 0 23 2
mcs10_b03_s40_AB07 20 0 22 2
mcs10_b03_s40_AB08 20 0 19 2
mcs10_b03_s40_AB09 20 0 22 2
mcs10_b03_s50_AB00 42 0 31 2
mcs10_b03_s50_AB01 43 0 40 3
mcs10_b03_s50_AB02 50 0 51 2
mcs10_b03_s50_AB03 41 0 43 2
mcs10_b03_s50_AB04 53 0 50 7
mcs10_b03_s50_AB05 37 0 38 2
mcs10_b03_s50_AB06 47 0 50 2
mcs10_b03_s50_AB07 52 0 49 2
mcs10_b03_s50_AB08 33 0 40 3
mcs10_b03_s50_AB09 40 0 42 2
mcs10_b03_s60_AB00 39 0 24 2
mcs10_b03_s60_AB01 21 0 22 3
mcs10_b03_s60_AB02 19 0 34 1
mcs10_b03_s60_AB03 26 0 30 1
mcs10_b03_s60_AB04 21 0 29 3
mcs10_b03_s60_AB05 34 0 21 2
mcs10_b03_s60_AB06 28 0 20 2
mcs10_b03_s60_AB07 34 0 31 1
mcs10_b03_s60_AB08 27 0 24 2
mcs10_b03_s60_AB09 32 0 27 4
mcs10_b03_s70_AB00 39 0 41 1
mcs10_b03_s70_AB01 53 0 41 2
mcs10_b03_s70_AB02 42 0 57 2
mcs10_b03_s70_AB03 31 0 36 2
mcs10_b03_s70_AB04 56 0 53 1
mcs10_b03_s70_AB05 35 0 30 2
