instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32 clique-par/t2 clique-par/t4 clique-par/t8 clique-par/t16 clique-par/t32r
mcs10_b03_s100_AB00 613633 1000000 31819 575093 588973 119526 69243 32793 31463
mcs10_b03_s100_AB01 1000000 1000000 802660 1000001 1000000 1000000 1000000 1000003 574111
mcs10_b03_s100_AB02 1000000 1000000 1000009 1000001 1000000 1000000 1000001 1000001 1000010
mcs10_b03_s100_AB03 1000000 1000000 1000008 1000002 1000000 1000000 1000000 1000001 1000008
mcs10_b03_s100_AB04 1000000 1000000 113647 1000001 1000000 928377 546316 232739 113874
mcs10_b03_s100_AB05 1000000 1000000 1000009 1000002 1000000 1000000 1000000 1000001 1000010
mcs10_b03_s100_AB06 1000000 1000000 1000002 123212 1000000 1000000 1000000 1000001 1000001
mcs10_b03_s100_AB07 1000000 1000000 134732 1000002 1000000 680874 525717 197462 138811
mcs10_b03_s100_AB08 1000000 1000000 1000002 1000001 1000000 1000000 1000000 1000001 1000001
mcs10_b03_s100_AB09 1000000 1000000 1000002 1000001 1000000 1000000 1000000 1000001 1000002
mcs10_b03_s40_AB00 72 336 25 46 44 23 21 12 17
mcs10_b03_s40_AB01 4146 5777 39 49 1940 905 69 37 35
mcs10_b03_s40_AB02 234 340 34 13 137 87 46 29 21
mcs10_b03_s40_AB03 629 548 52 44 368 207 130 75 61
mcs10_b03_s40_AB04 1611 183 81 48 627 283 226 103 60
mcs10_b03_s40_AB05 272 508 54 113 157 110 72 51 55
mcs10_b03_s40_AB06 521 2493 37 167 234 157 79 31 22
mcs10_b03_s40_AB07 344 159 55 26 198 133 102 62 49
mcs10_b03_s40_AB08 156 735 42 35 80 56 36 18 24
mcs10_b03_s40_AB09 228 2025 56 46 131 81 59 41 49
mcs10_b03_s50_AB00 50956 26608 1373 364 24953 8416 5295 2350 1235
mcs10_b03_s50_AB01 984425 210884 25847 1985 438658 151673 98048 41544 21846
mcs10_b03_s50_AB02 1000000 1000000 529206 10142 1000000 1000001 1000001 1000001 532380
mcs10_b03_s50_AB03 24664 143002 1498 459 16417 6162 3666 2002 1446
mcs10_b03_s50_AB04 350982 291634 11901 2484 244672 134033 129466 56817 11785
mcs10_b03_s50_AB05 407 5672 76 489 178 110 88 68 57
mcs10_b03_s50_AB06 1000000 108592 30898 2762 1000000 278076 139068 50233 25722
mcs10_b03_s50_AB07 1000000 1000000 1000001 11513 1000000 1000001 1000000 1000005 1000002
mcs10_b03_s50_AB08 653868 210637 27577 188 453168 199463 96480 45098 28511
mcs10_b03_s50_AB09 826484 432149 22107 1451 550359 192815 86146 43917 22154
mcs10_b03_s60_AB00 22021 24327 604 992 12509 4440 1890 761 572
mcs10_b03_s60_AB01 344 13738 61 598 218 158 115 78 69
mcs10_b03_s60_AB02 11966 72908 846 780 5341 2992 2928 1690 603
mcs10_b03_s60_AB03 1420 6811 170 5583 612 258 166 168 166
mcs10_b03_s60_AB04 5104 16091 298 788 2883 1314 808 422 275
mcs10_b03_s60_AB05 239895 47050 7425 1619 132938 48996 33414 14254 7440
mcs10_b03_s60_AB06 20860 56451 879 1078 9935 3976 2653 1296 801
mcs10_b03_s60_AB07 34938 31507 707 16204 19235 5945 1250 823 670
mcs10_b03_s60_AB08 4510 52315 329 5225 3188 1000 619 452 294
mcs10_b03_s60_AB09 1000000 144222 13977 3975 878215 232270 60172 27781 14027
mcs10_b03_s70_AB00 111624 1000000 2761 11152 44568 16422 9482 4869 2713
mcs10_b03_s70_AB01 1000000 1000000 44705 25115 343661 182781 219237 85013 37113
mcs10_b03_s70_AB02 680697 1000000 24997 36609 245714 93316 70023 35203 24525
mcs10_b03_s70_AB03 961269 1000000 30883 189225 552606 208663 128750 58464 31759
mcs10_b03_s70_AB04 1000000 1000000 1000002 32774 1000000 1000000 1000000 1000001 1000002
mcs10_b03_s70_AB05 116730 766276 2344 48904 121967 53357 18861 6350 2976
mcs10_b03_s70_AB06 1000000 1000000 1000008 225598 1000000 1000000 1000001 1000001 1000006
mcs10_b03_s70_AB07 1000000 1000000 1555 1795 581166 165589 9491 1597 1587
mcs10_b03_s70_AB08 1000000 1000000 1000002 131433 1000000 1000000 1000001 1000001 1000001
mcs10_b03_s70_AB09 26460 1000000 2287 50800 17580 8388 7860 5154 2150
mcs10_b03_s80_AB00 1000000 1000000 1000002 1000003 1000000 1000001 1000000 1000001 1000002
mcs10_b03_s80_AB01 1000000 1000000 1000002 1000004 1000000 1000001 1000001 1000001 1000002
mcs10_b03_s80_AB02 1000000 1000000 1000001 1000002 1000000 1000001 1000001 1000001 1000001
mcs10_b03_s80_AB03 1000000 1000000 1000010 1000002 1000000 1000001 1000001 1000001 1000011
mcs10_b03_s80_AB04 1000000 1000000 1000002 560295 1000000 1000001 1000000 1000001 1000002
mcs10_b03_s80_AB05 1000000 1000000 1000002 1000002 1000001 1000001 1000000 1000001 1000002
mcs10_b03_s80_AB06 1000000 1000000 378035 1000002 1000000 1000000 1000000 1000004 312524
mcs10_b03_s80_AB07 1000000 1000000 1000002 7580 1000000 1000001 1000000 1000001 1000002
mcs10_b03_s80_AB08 1000000 1000000 1000011 1000001 1000000 1000001 1000001 1000001 1000011
mcs10_b03_s80_AB09 1000000 1000000 1000002 1000001 1000000 1000001 1000000 1000001 1000002
mcs10_b03_s90_AB00 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000001 1000002
mcs10_b03_s90_AB01 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000001 1000002
mcs10_b03_s90_AB02 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000001 1000001
mcs10_b03_s90_AB03 1000000 1000000 1000002 1000002 1000001 1000001 1000001 1000001 1000002
mcs10_b03_s90_AB04 1000000 1000000 1000002 1000002 1000001 1000001 1000001 1000002 1000002
mcs10_b03_s90_AB05 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000001 1000002
mcs10_b03_s90_AB06 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000002 1000002
mcs10_b03_s90_AB07 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000001 1000002
mcs10_b03_s90_AB08 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000002 1000002
mcs10_b03_s90_AB09 1000000 1000000 1000002 1000003 1000001 1000001 1000001 1000001 1000002
mcs10_b03m_s100_AB00 1000000 1000000 607753 1000001 1000000 1000000 1000000 1000004 617467
mcs10_b03m_s100_AB01 14642 1000000 905 1000002 7283 3035 2013 978 777
mcs10_b03m_s100_AB02 314769 1000000 73149 1000001 176948 84558 95444 79701 73717
mcs10_b03m_s100_AB03 1000000 1000000 761401 1000001 1000000 1000000 1000001 1000001 748757
mcs10_b03m_s100_AB04 1000000 1000000 1000002 1000002 1000000 1000000 1000000 1000001 1000002
mcs10_b03m_s100_AB05 1000000 1000000 329817 1000001 1000000 1000001 1000001 1000001 325884
mcs10_b03m_s100_AB06 8343 1000000 703 1000001 4431 1973 1490 918 686
mcs10_b03m_s100_AB07 1000000 1000000 56573 775132 671989 217306 158106 83868 56770
mcs10_b03m_s100_AB08 1000000 1000000 1000007 1000001 1000000 1000000 1000000 1000001 1000007
mcs10_b03m_s100_AB09 1000000 1000000 867463 1000003 1000000 1000001 1000000 1000001 865746
mcs10_b03m_s40_AB00 1587 346 121 11 909 487 277 169 118
mcs10_b03m_s40_AB01 85 182 36 19 60 42 28 25 34
mcs10_b03m_s40_AB02 1468 2858 115 42 825 442 255 168 79
mcs10_b03m_s40_AB03 40 2845 20 103 24 19 11 19 23
mcs10_b03m_s40_AB04 1223 1667 101 81 730 385 223 145 91
mcs10_b03m_s40_AB05 214 410 34 39 115 82 51 34 36
mcs10_b03m_s40_AB06 1047 2544 90 52 541 302 185 121 72
mcs10_b03m_s40_AB07 1001 184 84 13 650 329 207 117 98
mcs10_b03m_s40_AB08 65 332 33 53 60 52 42 27 23
mcs10_b03m_s40_AB09 4755 2918 258 281 2623 1231 685 379 262
mcs10_b03m_s50_AB00 133241 19110 4381 308 69772 25828 15219 7948 4109
mcs10_b03m_s50_AB01 437699 34917 13680 159 247502 109388 68451 21666 11552
mcs10_b03m_s50_AB02 804409 364739 26506 741 484975 176442 121925 51645 26751
mcs10_b03m_s50_AB03 1000000 168246 38455 1311 986290 288975 138562 65850 38092
mcs10_b03m_s50_AB04 25681 33417 815 288 11054 5278 4686 3358 1528
mcs10_b03m_s50_AB05 874372 1000000 31682 1873 537497 196023 137192 59534 31626
