instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32
mcs10_b03_s40_AB00 1000000 150106 1000003 13121
mcs10_b03_s40_AB01 1000000 1000000 1000003 26055
mcs10_b03_s40_AB02 1000000 99278 1000002 5401
mcs10_b03_s40_AB03 1000000 102974 1000002 9398
mcs10_b03_s40_AB04 1000000 236813 1000002 34161
mcs10_b03_s40_AB05 1000000 329098 1000004 25450
mcs10_b03_s40_AB06 1000000 860474 1000002 62162
mcs10_b03_s40_AB07 1000000 54332 1000003 6109
mcs10_b03_s40_AB08 1000000 110742 1000003 9664
mcs10_b03_s40_AB09 1000000 187754 1000004 26165
mcs10_b03_s50_AB00 1000000 1000000 1000005 941705
mcs10_b03_s50_AB01 1000000 1000000 1000003 1000001
mcs10_b03_s50_AB02 1000000 1000000 1000004 1000001
mcs10_b03_s50_AB03 1000000 1000000 1000004 1000001
mcs10_b03_s50_AB04 1000000 1000000 1000004 1000001
mcs10_b03_s50_AB05 1000000 1000000 1000003 1000001
mcs10_b03_s50_AB06 1000000 1000000 1000004 1000001
mcs10_b03_s50_AB07 1000000 1000000 1000003 1000001
mcs10_b03_s50_AB08 1000000 1000000 1000004 1000001
mcs10_b03_s50_AB09 1000000 1000000 1000004 1000003
mcs10_b03m_s40_AB00 1000000 489745 1000003 35456
mcs10_b03m_s40_AB01 1000000 108166 1000003 14962
mcs10_b03m_s40_AB02 1000000 180533 1000003 8051
mcs10_b03m_s40_AB03 1000000 104427 1000003 2779
mcs10_b03m_s40_AB04 1000000 516526 1000003 39747
mcs10_b03m_s40_AB05 1000000 237227 1000003 20499
mcs10_b03m_s40_AB06 1000000 180450 1000003 13735
mcs10_b03m_s40_AB07 1000000 101658 1000003 4410
mcs10_b03m_s40_AB08 1000000 310713 1000003 29648
mcs10_b03m_s40_AB09 1000000 966889 1000003 116122
mcs10_b03m_s50_AB00 1000000 1000000 1000005 1000001
mcs10_b03m_s50_AB01 1000000 1000000 1000004 1000001
mcs10_b03m_s50_AB02 1000000 1000000 1000004 1000001
mcs10_b03m_s50_AB03 1000000 1000000 1000004 1000001
mcs10_b03m_s50_AB04 1000000 1000000 1000004 1000001
mcs10_b03m_s50_AB05 1000000 1000000 1000004 1000001
mcs10_b03m_s50_AB06 1000000 1000000 1000003 1000001
mcs10_b03m_s50_AB07 1000000 1000000 1000003 1000001
mcs10_b03m_s50_AB08 1000000 1000000 1000004 1000001
mcs10_b03m_s50_AB09 1000000 1000000 1000003 1000001
mcs10_m2D_s40_AB00 1000000 208890 1000003 12386
mcs10_m2D_s40_AB01 1000000 250960 1000003 17526
mcs10_m2D_s40_AB02 1000000 205727 1000003 8214
mcs10_m2D_s40_AB03 1000000 326247 1000003 25113
mcs10_m2D_s40_AB04 1000000 488143 1000004 33588
mcs10_m2D_s40_AB05 1000000 264402 1000004 27352
mcs10_m2D_s40_AB06 1000000 314876 1000003 15318
mcs10_m2D_s40_AB07 1000000 438472 1000003 42351
mcs10_m2D_s40_AB08 1000000 924200 1000002 60638
mcs10_m2D_s40_AB09 1000000 94551 1000003 6423
mcs10_m2D_s50_AB00 1000000 1000000 1000004 1000001
mcs10_m2D_s50_AB01 1000000 1000000 1000003 1000001
mcs10_m2D_s50_AB02 1000000 1000000 1000005 564635
mcs10_m2D_s50_AB03 1000000 1000000 1000003 1000003
mcs10_m2D_s50_AB04 1000000 1000000 1000004 1000001
mcs10_m2D_s50_AB05 1000000 1000000 1000004 1000001
mcs10_m2D_s50_AB06 1000000 1000000 1000005 1000001
mcs10_m2D_s50_AB07 1000000 1000000 1000003 1000001
mcs10_m2D_s50_AB08 1000000 1000000 1000004 1000001
mcs10_m2D_s50_AB09 1000000 1000000 1000004 840134
mcs10_m2Dr4_s40_AB00 1000000 465817 1000003 27103
mcs10_m2Dr4_s40_AB01 1000000 360440 1000003 36253
mcs10_m2Dr4_s40_AB02 1000000 518508 1000003 28880
mcs10_m2Dr4_s40_AB03 1000000 259117 1000002 26037
mcs10_m2Dr4_s40_AB04 1000000 342284 1000003 24525
mcs10_m2Dr4_s40_AB05 1000000 345019 1000004 20931
mcs10_m2Dr4_s40_AB06 1000000 607618 1000003 47617
mcs10_m2Dr4_s40_AB07 1000000 354071 1000003 38371
mcs10_m2Dr4_s40_AB08 1000000 490626 1000003 23544
mcs10_m2Dr4_s40_AB09 1000000 268897 1000003 22654
mcs10_m2Dr4_s50_AB00 1000000 1000000 1000005 1000001
mcs10_m2Dr4_s50_AB01 1000000 1000000 1000005 1000001
mcs10_m2Dr4_s50_AB02 1000000 1000000 1000005 1000001
mcs10_m2Dr4_s50_AB03 1000000 1000000 1000004 1000001
mcs10_m2Dr4_s50_AB04 1000000 1000000 1000003 1000003
mcs10_m2Dr4_s50_AB05 1000000 1000000 1000004 1000001
mcs10_m2Dr4_s50_AB06 1000000 1000000 1000004 1000001
mcs10_m2Dr4_s50_AB07 1000000 1000000 1000003 1000001
mcs10_m2Dr4_s50_AB08 1000000 1000000 1000003 1000001
mcs10_m2Dr4_s50_AB09 1000000 1000000 1000003 1000001
mcs10_m2Dr6_s40_AB00 1000000 728683 1000003 87375
mcs10_m2Dr6_s40_AB01 1000000 1000000 1000003 86264
mcs10_m2Dr6_s40_AB02 1000000 1000000 1000002 86789
mcs10_m2Dr6_s40_AB03 1000000 460955 1000003 30439
mcs10_m2Dr6_s40_AB04 1000000 1000000 1000002 61150
mcs10_m2Dr6_s40_AB05 1000000 471118 1000002 38642
mcs10_m2Dr6_s40_AB06 1000000 399556 1000003 54389
mcs10_m2Dr6_s40_AB07 1000000 601719 1000003 66827
mcs10_m2Dr6_s40_AB08 1000000 863165 1000003 83488
mcs10_m2Dr6_s40_AB09 1000000 307105 1000002 24809
mcs10_m2Dr6_s50_AB00 1000000 1000000 1000004 1000001
mcs10_m2Dr6_s50_AB01 1000000 1000000 1000004 1000002
mcs10_m2Dr6_s50_AB02 1000000 1000000 1000003 1000001
mcs10_m2Dr6_s50_AB03 1000000 1000000 1000005 1000001
mcs10_m2Dr6_s50_AB04 1000000 1000000 1000004 1000001
mcs10_m2Dr6_s50_AB05 1000000 1000000 1000004 1000001
mcs10_m2Dr6_s50_AB06 1000000 1000000 1000005 1000001
mcs10_m2Dr6_s50_AB07 1000000 1000000 1000003 1000001
mcs10_m2Dr6_s50_AB08 1000000 1000000 1000003 1000001
mcs10_m2Dr6_s50_AB09 1000000 1000000 1000005 1000001
mcs10_r005_s20_AB00 208 14 74 18
mcs10_r005_s20_AB01 420 35 114 17
mcs10_r005_s20_AB02 255 14 84 20
mcs10_r005_s20_AB03 310 20 98 20
mcs10_r005_s20_AB04 158 2 75 13
mcs10_r005_s20_AB05 205 24 74 21
mcs10_r005_s20_AB06 240 7 88 15
mcs10_r005_s20_AB07 521 63 116 38
mcs10_r005_s20_AB08 177 15 80 14
mcs10_r005_s20_AB09 139 11 77 15
mcs10_r005_s25_AB00 10139 601 735 119
mcs10_r005_s25_AB01 7162 142 401 24
