instance clique james-cpp-max kdown clique-par/t32 james-cpp-max-par/t32 kdown-par/t32 james-cpp-max-par/t4 james-cpp-max-par/t16 james-cpp-max-par/t32r kdown-par/t4 kdown-par/t16 kdown-par/t32r
mcs10_b03_s40_AB00 1000000 20179 1000000 1000003 1722 193267 11430 2175 2013 525370 204993 193612
mcs10_b03_s40_AB01 1000000 6883 1000000 1000003 1321 83038 2812 1198 1093 179608 67358 74075
mcs10_b03_s40_AB02 1000000 64727 1000000 1000003 1387 171074 17397 2940 1520 972171 203465 178905
mcs10_b03_s40_AB03 1000000 16931 1000000 1000002 1177 197704 5721 2015 1220 447653 169711 228484
mcs10_b03_s40_AB04 1000000 9513 957112 1000002 824 110696 4117 1204 884 361729 134759 122952
mcs10_b03_s40_AB05 1000000 10844 651304 1000003 773 86560 3303 1349 1003 209913 74673 103472
mcs10_b03_s40_AB06 1000000 16581 1000000 1000003 1547 97564 6657 2118 1413 304680 89995 91359
mcs10_b03_s40_AB07 1000000 148190 1000000 1000002 10745 997597 72418 17036 10054 1000000 896523 1000001
mcs10_b03_s40_AB08 1000000 14622 1000000 1000003 4438 140803 9642 4798 4255 414371 134932 139927
mcs10_b03_s40_AB09 1000000 15329 1000000 1000003 1557 136235 11005 2151 1428 357771 133934 140027
mcs10_b03_s50_AB00 1000000 1000000 1000000 1000004 96936 1000001 541550 125866 96749 1000000 1000000 1000001
mcs10_b03_s50_AB01 1000000 352795 1000000 1000004 25650 1000001 104055 35768 27236 1000000 1000000 1000001
mcs10_b03_s50_AB02 1000000 717818 1000000 1000004 39767 1000001 271476 56624 30210 1000000 1000000 1000001
mcs10_b03_s50_AB03 1000000 457061 1000000 1000004 23372 1000001 166210 42028 27276 1000000 1000000 1000001
mcs10_b03_s50_AB04 1000000 575900 1000000 1000004 49242 1000001 323083 81922 54074 1000000 1000000 1000002
mcs10_b03_s50_AB05 1000000 477550 1000000 1000004 58606 1000001 215391 74163 56991 1000000 1000000 1000001
mcs10_b03_s50_AB06 1000000 1000000 1000000 1000004 1000003 1000001 1000000 1000001 1000003 1000000 1000001 1000001
mcs10_b03_s50_AB07 1000000 901428 1000000 1000004 75736 1000001 377729 122255 97319 1000000 1000000 1000001
mcs10_b03_s50_AB08 1000000 532345 1000000 1000005 26889 1000001 184538 54274 26114 1000000 1000000 1000001
mcs10_b03_s50_AB09 1000000 719769 1000000 1000004 46721 1000001 381998 74668 48138 1000000 1000001 1000001
mcs10_b03m_s40_AB00 1000000 8254 627032 1000003 689 82025 2844 1046 810 286853 73223 69017
