instance kdown james-cpp-max-down kdown-par/t32 james-cpp-max-down-par/t32
F.04 389 6 27 8
C.18 17461 110 706 30
A.04 49 2 15 5
C.02 22836 157 1472 41
E.01 1000000 1000000 1000002 1000003
F.20 205 6 25 4
B.20 10715 67 781 21
C.08 1000001 23474 173255 78
B.11 443 15 92 18
C.10 1000001 1845 3542 22
B.06 1130 24 100 18
F.08 331 5 30 7
B.07 2675 46 157 17
E.04 1000000 1000000 1000002 1000003
C.01 341325 741 3503 47
B.10 946 20 122 19
A.15 47 2 17 5
C.19 1000001 477 14791 34
B.02 3993 40 189 14
E.06 1000000 1000000 1000003 1000002
E.18 1000000 1000000 1000002 1000003
C.20 231689 176 3939 47
F.02 579 3 24 7
F.11 180 5 29 8
F.12 226 4 35 7
E.05 1000000 1000000 1000002 1000004
B.16 339 17 131 17
A.08 155 2 22 6
C.14 2262 48 333 39
F.16 259 6 33 8
F.06 499 5 34 7
A.03 149 4 22 5
E.19 1000000 1000000 1000003 1000002
C.15 1000001 2050 53038 104
A.16 53 2 18 5
B.14 334230 599 1161 106
A.02 89 4 18 5
F.14 160 5 27 8
F.05 321 3 36 7
B.09 1189 15 95 17
A.01 105 3 25 5
C.05 61298 73 6242 50
B.01 116799 180 503 23
A.09 105 2 19 5
A.07 131 2 26 7
F.03 243 5 27 7
E.12 1000000 1000000 1000002 1000004
C.06 27990 113 1935 42
C.09 4056 35 576 48
B.17 12580 78 142 19
C.07 389768 98 24278 31
E.09 1000000 1000000 1000002 1000002
E.17 1000000 1000000 1000002 1000003
C.11 1000001 9688 1000004 386
F.10 1000000 1000000 1000002 1000004
A.17 50 3 16 4
B.15 1117 31 128 20
E.03 1000000 1000000 1000002 1000003
F.19 151 3 30 7
A.12 36 3 15 5
B.08 20675 121 776 37
F.17 529 4 25 7
C.04 1000001 569427 1000007 50664
B.19 4831 53 216 21
C.16 1000002 4578 31937 340
C.17 1000001 2805 3206 53
E.08 1000000 1000000 1000002 1000001
F.13 268 4 35 4
A.20 58 4 9 4
E.02 1000000 1000000 1000002 1000003
E.16 1000000 1000000 1000002 1000003
B.12 316968 302 6459 42
F.09 295 5 32 8
A.10 152 6 32 6
F.18 197 5 33 7
E.10 726 5 22 6
A.06 73 2 16 5
E.15 1000000 1000000 1000002 1000002
E.07 1000000 1000000 1000003 1000002
E.11 1000000 1000000 1000002 1000004
B.03 2865 12 105 17
B.18 348 9 92 18
C.03 47384 86 4681 35
A.18 67 2 18 5
F.15 254 3 28 7
A.19 143 3 17 5
C.12 1000001 1731 458 47
B.05 20956 82 572 17
A.13 115 3 18 7
A.05 64 2 18 7
F.01 172 3 20 7
E.20 1000000 1000000 1000003 1000001
B.13 7669 42 220 20
A.14 191 2 41 7
B.04 6130 71 448 19
C.13 15894 51 987 44
F.07 395 6 31 7
E.13 1000000 1000000 1000002 1000003
E.14 1000000 1000000 1000002 1000003
A.11 39 1 19 6
si6_r005_m400.07 9664 20 534 9
si6_r005_m400.00 8357 35 399 8
si6_r005_m400.01 3542 17 290 9
si6_r005_m400.02 2305 13 162 5
si6_r005_m400.04 3067 10 186 9
si6_r005_m400.05 12569 5 558 50
si6_r005_m400.09 1454 5 118 5
si6_r005_m400.03 4372 4 244 11
si6_r005_m400.06 1970 4 124 7
si6_r005_m400.08 2825 29 173 7
si6_m4Dr6_m625.04 214 8 48 13
si6_m4Dr6_m625.01 199 8 42 11
si6_m4Dr6_m625.09 221 8 33 12
si6_m4Dr6_m625.07 255 5 38 13
si6_m4Dr6_m625.00 261 8 51 13
si6_m4Dr6_m625.08 233 7 52 12
si6_m4Dr6_m625.05 219 9 52 13
si6_m4Dr6_m625.06 180 5 36 12
si6_m4Dr6_m625.02 236 11 51 12
si6_m4Dr6_m625.03 171 6 50 13
si4_m4Dr2_m625.09 107 4 44 11
si4_m4Dr2_m625.04 498 15 32 10
si4_m4Dr2_m625.02 189 7 38 10
si4_m4Dr2_m625.07 141 6 35 9
si4_m4Dr2_m625.00 190 4 40 10
si4_m4Dr2_m625.08 235 5 34 9
si4_m4Dr2_m625.01 144 4 36 10
si4_m4Dr2_m625.06 137 4 38 9
si4_m4Dr2_m625.03 410 7 52 12
si4_m4Dr2_m625.05 148 4 32 8
si2_r001_m600.00 1000000 1000001 1000001 1000001
si2_r001_m600.06 1000000 1000001 1000002 151403
si2_r001_m600.04 510674 194 15164 36
si2_r001_m600.07 1000000 1000001 1000002 1000001
si2_r001_m600.02 1000000 1000001 1000002 1000001
si2_r001_m600.08 1000000 1000001 1000002 252053
si2_r001_m600.03 1000000 1000001 1000002 1000001
si2_r001_m600.01 13325 1000000 1707 1663
