instance clique james-cpp-max clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32
mcs10_b03_s100_AB00 NaN NaN 61123628 42370669 46190638 79857389 64757299 NaN NaN NaN
mcs10_b03_s100_AB01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s100_AB02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s100_AB03 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s100_AB04 NaN NaN 225665847 93839538 89250470 262892816 89223662 NaN NaN NaN
mcs10_b03_s100_AB05 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s100_AB06 NaN NaN NaN 856652391 956237982 882174881 954104742 NaN NaN NaN
mcs10_b03_s100_AB07 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s100_AB08 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s100_AB09 NaN NaN NaN 668114284 NaN 1296268898 NaN NaN NaN NaN
mcs10_b03_s40_AB00 11443 800474 12447 10331 16487 9931 18291 598829 629928 616323
mcs10_b03_s40_AB01 10164 520548 11119 10738 10722 10388 10358 615458 801658 819339
mcs10_b03_s40_AB02 22824 204567 19253 17240 15056 14158 17742 130222 188945 147999
mcs10_b03_s40_AB03 62399 556052 62001 66711 75900 63618 69660 293881 305274 309712
mcs10_b03_s40_AB04 347148 233125 156053 180704 153139 192053 189654 198961 208632 197028
mcs10_b03_s40_AB05 599351 2529341 604516 606277 605670 605098 603952 2443736 2440065 2449878
mcs10_b03_s40_AB06 57081 1332485 47584 31494 39175 76512 45227 1364638 1364694 1365743
mcs10_b03_s40_AB07 4446784 601774 1990132 1082827 778966 1285904 797057 449709 360395 399840
mcs10_b03_s40_AB08 65813 193121 46203 49971 57851 50704 81985 225080 241370 269460
mcs10_b03_s40_AB09 39071 641336 42008 20174 36977 20862 23563 908800 752992 404164
mcs10_b03_s50_AB00 5655309 36453478 4624319 5473849 7130747 7696677 6951217 12794132 12061059 12515777
mcs10_b03_s50_AB01 NaN 114689246 186632454 134686524 97825665 219344374 98322674 27988796 28650339 86962800
mcs10_b03_s50_AB02 NaN NaN 123180683 145119996 191432262 268125307 189679341 181230394 108915161 108700071
mcs10_b03_s50_AB03 3724871 21314076 2288283 2320141 2464877 2404243 2595001 12286829 13036405 11751299
mcs10_b03_s50_AB04 22191424 49107336 17945877 17914138 17940104 18094007 18098235 34420300 41028318 34853426
mcs10_b03_s50_AB05 801806 22555916 719338 266855 277298 249611 275593 12238633 9391761 6653127
mcs10_b03_s50_AB06 17059735 75148841 17117876 17359566 17453663 17536605 17425646 61147678 60040416 60304283
mcs10_b03_s50_AB07 NaN 160472218 304168333 300099226 325932117 292422645 326333028 274497326 328941155 317653911
mcs10_b03_s50_AB08 16981410 5665853 11718896 9702006 10499934 10941282 11020636 3468939 4614292 3183772
mcs10_b03_s50_AB09 16621972 42823095 11961424 14515874 9786692 13378299 10215613 41124845 38760316 39289260
mcs10_b03_s60_AB00 3888440 15664207 4326970 2672672 2675852 2657524 2677540 21315037 24945588 26065000
mcs10_b03_s60_AB01 32880 3203793 42065 64397 50972 39906 52199 5269890 5792632 5392584
