instance clique james-cpp-max clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32 clique-cilk/t32 clique-cilk/t32r james-cpp-max-par/t32r
mcs10_b03_s100_AB00 100000 100000 7258 3492 2703 4552 3793 100000 100001 100001 2878 11780 100001
mcs10_b03_s100_AB01 100000 100000 100001 100001 100016 100040 100016 100000 100000 100001 100000 100000 100001
mcs10_b03_s100_AB02 100000 100000 100001 100001 100009 100023 100009 100000 100000 100001 100000 100000 100001
mcs10_b03_s100_AB03 100000 100000 100001 100001 100002 100035 100002 100000 100000 100001 100000 100000 100001
mcs10_b03_s100_AB04 100000 100000 49490 11951 8308 21563 8503 100000 100001 100001 18216 16939 100001
mcs10_b03_s100_AB05 100000 100000 100001 100003 100002 100002 100002 100000 100001 100001 100000 100000 100001
mcs10_b03_s100_AB06 100000 100000 100001 69352 56143 51344 55292 100000 100001 100001 60374 60132 100001
mcs10_b03_s100_AB07 100000 100000 100001 100001 100002 100033 100002 100000 100000 100001 100000 100000 100001
mcs10_b03_s100_AB08 100000 100000 100001 100001 100017 100036 100018 100000 100001 100001 100000 100000 100001
mcs10_b03_s100_AB09 100000 100000 100001 57872 100011 90506 100012 100000 100000 100001 83422 100000 100001
mcs10_b03_s40_AB00 18 318 12 13 12 13 14 44 49 38 34 27 33
mcs10_b03_s40_AB01 17 130 12 12 14 13 12 54 48 50 18 20 57
mcs10_b03_s40_AB02 25 52 13 14 16 17 16 11 11 9 36 28 8
mcs10_b03_s40_AB03 67 217 20 17 19 20 20 31 30 33 37 33 31
mcs10_b03_s40_AB04 195 59 22 19 20 29 24 31 32 35 54 28 33
mcs10_b03_s40_AB05 387 658 65 40 45 50 48 174 109 100 57 64 112
mcs10_b03_s40_AB06 33 303 14 13 14 18 15 151 147 162 35 36 152
mcs10_b03_s40_AB07 2113 154 164 64 44 61 45 32 16 20 120 148 13
mcs10_b03_s40_AB08 57 58 14 16 18 17 20 22 19 23 41 26 17
mcs10_b03_s40_AB09 35 209 14 14 15 15 18 68 36 23 27 28 27
mcs10_b03_s50_AB00 6874 10750 798 512 418 458 406 895 606 474 416 352 487
