instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32
mcs10_b03_s100_AB00 49 1 49 2
mcs10_b03_s100_AB01 57 1 55 2
mcs10_b03_s100_AB02 63 1 59 2
mcs10_b03_s100_AB03 51 1 51 2
mcs10_b03_s100_AB04 67 1 65 2
mcs10_b03_s100_AB05 58 1 55 4
mcs10_b03_s100_AB06 52 1 52 2
mcs10_b03_s100_AB07 55 0 52 2
mcs10_b03_s100_AB08 60 1 58 2
mcs10_b03_s100_AB09 56 1 58 2
mcs10_b03_s40_AB00 12 0 15 2
mcs10_b03_s40_AB01 11 0 15 3
mcs10_b03_s40_AB02 13 0 15 2
mcs10_b03_s40_AB03 13 0 16 1
mcs10_b03_s40_AB04 12 0 16 2
mcs10_b03_s40_AB05 13 0 17 2
mcs10_b03_s40_AB06 13 0 17 1
mcs10_b03_s40_AB07 13 0 16 1
mcs10_b03_s40_AB08 11 0 15 1
mcs10_b03_s40_AB09 13 0 16 1
mcs10_b03_s50_AB00 35 0 36 1
mcs10_b03_s50_AB01 31 0 33 2
mcs10_b03_s50_AB02 39 0 39 2
mcs10_b03_s50_AB03 36 0 37 1
mcs10_b03_s50_AB04 38 0 39 2
mcs10_b03_s50_AB05 33 0 34 2
mcs10_b03_s50_AB06 36 0 38 3
mcs10_b03_s50_AB07 39 0 41 2
mcs10_b03_s50_AB08 29 0 31 3
mcs10_b03_s50_AB09 38 0 38 2
mcs10_b03_s60_AB00 24 0 25 2
mcs10_b03_s60_AB01 18 0 21 2
mcs10_b03_s60_AB02 21 0 24 1
mcs10_b03_s60_AB03 21 0 26 1
mcs10_b03_s60_AB04 16 0 19 1
mcs10_b03_s60_AB05 23 0 27 1
mcs10_b03_s60_AB06 19 0 22 1
mcs10_b03_s60_AB07 23 0 26 1
mcs10_b03_s60_AB08 20 0 22 1
mcs10_b03_s60_AB09 25 0 27 2
mcs10_b03_s70_AB00 38 0 39 1
mcs10_b03_s70_AB01 40 0 40 1
mcs10_b03_s70_AB02 39 0 40 1
mcs10_b03_s70_AB03 40 0 41 1
mcs10_b03_s70_AB04 49 0 51 1
mcs10_b03_s70_AB05 36 0 38 1
mcs10_b03_s70_AB06 45 0 46 2
mcs10_b03_s70_AB07 33 0 34 1
mcs10_b03_s70_AB08 55 0 53 1
mcs10_b03_s70_AB09 45 0 39 2
mcs10_b03_s80_AB00 72 0 69 2
mcs10_b03_s80_AB01 77 0 72 2
mcs10_b03_s80_AB02 69 0 69 2
mcs10_b03_s80_AB03 70 0 66 3
mcs10_b03_s80_AB04 76 0 74 1
mcs10_b03_s80_AB05 78 0 74 2
mcs10_b03_s80_AB06 57 0 55 2
mcs10_b03_s80_AB07 75 0 71 1
mcs10_b03_s80_AB08 71 0 70 2
mcs10_b03_s80_AB09 87 0 83 1
mcs10_b03_s90_AB00 143 0 138 2
mcs10_b03_s90_AB01 136 0 137 2
mcs10_b03_s90_AB02 106 0 96 2
mcs10_b03_s90_AB03 121 0 114 2
mcs10_b03_s90_AB04 130 0 117 2
mcs10_b03_s90_AB05 144 0 138 2
mcs10_b03_s90_AB06 132 1 112 2
mcs10_b03_s90_AB07 121 0 111 2
mcs10_b03_s90_AB08 125 0 114 2
mcs10_b03_s90_AB09 169 0 133 3
mcs10_b03m_s100_AB00 59 1 60 2
mcs10_b03m_s100_AB01 52 0 49 2
mcs10_b03m_s100_AB02 52 0 52 2
mcs10_b03m_s100_AB03 54 1 53 2
mcs10_b03m_s100_AB04 70 0 65 3
mcs10_b03m_s100_AB05 68 1 64 3
mcs10_b03m_s100_AB06 50 1 49 2
mcs10_b03m_s100_AB07 55 0 54 2
mcs10_b03m_s100_AB08 60 1 59 2
mcs10_b03m_s100_AB09 59 0 54 3
mcs10_b03m_s40_AB00 12 0 14 3
mcs10_b03m_s40_AB01 11 0 15 1
mcs10_b03m_s40_AB02 13 0 16 1
mcs10_b03m_s40_AB03 11 0 14 2
mcs10_b03m_s40_AB04 12 0 16 4
mcs10_b03m_s40_AB05 11 0 14 2
mcs10_b03m_s40_AB06 14 0 19 1
mcs10_b03m_s40_AB07 7 0 12 2
mcs10_b03m_s40_AB08 13 0 16 1
mcs10_b03m_s40_AB09 14 0 16 1
mcs10_b03m_s50_AB00 30 0 32 1
mcs10_b03m_s50_AB01 31 0 32 2
mcs10_b03m_s50_AB02 36 0 36 1
mcs10_b03m_s50_AB03 33 0 34 2
mcs10_b03m_s50_AB04 31 0 32 1
mcs10_b03m_s50_AB05 38 0 39 1
mcs10_b03m_s50_AB06 29 0 30 1
mcs10_b03m_s50_AB07 32 0 33 2
mcs10_b03m_s50_AB08 39 0 41 1
mcs10_b03m_s50_AB09 36 0 37 2
mcs10_b03m_s60_AB00 16 0 19 1
mcs10_b03m_s60_AB01 20 0 23 2
mcs10_b03m_s60_AB02 18 0 21 2
mcs10_b03m_s60_AB03 22 0 23 1
mcs10_b03m_s60_AB04 24 0 27 1
mcs10_b03m_s60_AB05 23 0 25 3
mcs10_b03m_s60_AB06 21 0 23 2
