instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32
mcs10_b03_s40_AB00 100000 100000 100004 17028
mcs10_b03_s40_AB01 100000 100000 100006 80987
mcs10_b03_s40_AB02 100000 100000 100004 9756
mcs10_b03_s40_AB03 100000 100000 100004 20981
mcs10_b03_s40_AB04 100000 100000 100004 59754
mcs10_b03_s40_AB05 100000 100000 100005 38009
mcs10_b03_s40_AB06 100000 100000 100004 72384
mcs10_b03_s40_AB07 100000 74275 100005 7382
mcs10_b03_s40_AB08 100000 100000 100005 10853
mcs10_b03_s40_AB09 100000 100000 100005 36837
mcs10_b03_s50_AB00 100000 100000 100005 100001
mcs10_b03_s50_AB01 100001 100000 100006 100001
mcs10_b03_s50_AB02 100000 100000 100007 100001
mcs10_b03_s50_AB03 100001 100000 100005 100002
mcs10_b03_s50_AB04 100000 100000 100006 100001
mcs10_b03_s50_AB05 100000 100000 100006 100001
mcs10_b03_s50_AB06 100001 100001 100006 100001
mcs10_b03_s50_AB07 100000 100000 100006 100002
mcs10_b03_s50_AB08 100000 100000 100007 100001
mcs10_b03_s50_AB09 100000 100000 100005 100002
mcs10_b03m_s40_AB00 100000 100000 100005 19620
mcs10_b03m_s40_AB01 100000 100000 100004 24729
mcs10_b03m_s40_AB02 100000 100000 100004 14046
mcs10_b03m_s40_AB03 100000 100000 100005 5890
mcs10_b03m_s40_AB04 100000 100000 100005 64566
mcs10_b03m_s40_AB05 100000 100000 100005 29504
mcs10_b03m_s40_AB06 100001 100000 100005 17243
mcs10_b03m_s40_AB07 100000 100000 100004 3997
mcs10_b03m_s40_AB08 100000 100000 100005 46410
mcs10_b03m_s40_AB09 100000 100000 100005 100002
mcs10_b03m_s50_AB00 100000 100000 100006 100002
mcs10_b03m_s50_AB01 100000 100000 100006 100002
mcs10_b03m_s50_AB02 100000 100000 100006 100002
mcs10_b03m_s50_AB03 100000 100000 100006 100002
mcs10_b03m_s50_AB04 100000 100000 100005 100001
mcs10_b03m_s50_AB05 100000 100000 100005 100002
mcs10_b03m_s50_AB06 100000 100000 100005 100002
mcs10_b03m_s50_AB07 100000 100000 100006 100001
mcs10_b03m_s50_AB08 100000 100000 100005 100001
mcs10_b03m_s50_AB09 100000 100000 100006 100002
mcs10_m2D_s40_AB00 100000 100000 100005 9837
mcs10_m2D_s40_AB01 100000 100000 100004 24881
mcs10_m2D_s40_AB02 100000 100000 100004 13615
mcs10_m2D_s40_AB03 100000 100000 100004 43107
mcs10_m2D_s40_AB04 100000 100000 100005 44232
mcs10_m2D_s40_AB05 100000 100000 100005 39246
mcs10_m2D_s40_AB06 100000 100000 100005 29497
mcs10_m2D_s40_AB07 100000 100000 100004 53796
mcs10_m2D_s40_AB08 100000 100000 100005 97234
mcs10_m2D_s40_AB09 100000 100000 100005 9407
mcs10_m2D_s50_AB00 100000 100000 100005 100001
mcs10_m2D_s50_AB01 100000 100000 100005 100001
mcs10_m2D_s50_AB02 100000 100000 100007 100001
mcs10_m2D_s50_AB03 100000 100000 100006 100001
mcs10_m2D_s50_AB04 100000 100000 100006 100001
mcs10_m2D_s50_AB05 100000 100000 100005 100002
mcs10_m2D_s50_AB06 100000 100000 100006 100002
mcs10_m2D_s50_AB07 100000 100000 100006 100001
mcs10_m2D_s50_AB08 100000 100000 100005 100002
mcs10_m2D_s50_AB09 100000 100000 100006 100001
mcs10_m2Dr4_s40_AB00 100000 100000 100005 50169
mcs10_m2Dr4_s40_AB01 100000 100000 100005 52214
mcs10_m2Dr4_s40_AB02 100000 100000 100005 51171
mcs10_m2Dr4_s40_AB03 100000 100000 100005 47751
mcs10_m2Dr4_s40_AB04 100000 100000 100005 52650
mcs10_m2Dr4_s40_AB05 100000 100000 100006 33444
mcs10_m2Dr4_s40_AB06 100000 100000 100005 48007
mcs10_m2Dr4_s40_AB07 100000 100000 100004 52767
mcs10_m2Dr4_s40_AB08 100000 100000 100006 45920
mcs10_m2Dr4_s40_AB09 100000 100000 100004 36503
mcs10_m2Dr4_s50_AB00 100000 100000 100006 100001
mcs10_m2Dr4_s50_AB01 100000 100000 100007 100001
mcs10_m2Dr4_s50_AB02 100000 100000 100006 100001
mcs10_m2Dr4_s50_AB03 100000 100000 100007 100001
mcs10_m2Dr4_s50_AB04 100000 100000 100006 100002
mcs10_m2Dr4_s50_AB05 100000 100000 100006 100002
mcs10_m2Dr4_s50_AB06 100000 100000 100006 100002
mcs10_m2Dr4_s50_AB07 100000 100000 100006 100001
mcs10_m2Dr4_s50_AB08 100000 100000 100006 100002
mcs10_m2Dr4_s50_AB09 100000 100000 100005 100002
mcs10_m2Dr6_s40_AB00 100000 100000 100005 100002
mcs10_m2Dr6_s40_AB01 100000 100000 100004 100002
mcs10_m2Dr6_s40_AB02 100000 100000 100005 100001
mcs10_m2Dr6_s40_AB03 100000 100000 100005 50763
mcs10_m2Dr6_s40_AB04 100000 100000 100005 100001
mcs10_m2Dr6_s40_AB05 100000 100000 100005 63243
mcs10_m2Dr6_s40_AB06 100000 100000 100004 68013
mcs10_m2Dr6_s40_AB07 100000 100000 100005 92997
mcs10_m2Dr6_s40_AB08 100000 100000 100004 100002
mcs10_m2Dr6_s40_AB09 100000 100000 100005 37981
mcs10_m2Dr6_s50_AB00 100000 100000 100006 100002
mcs10_m2Dr6_s50_AB01 100000 100000 100007 100002
mcs10_m2Dr6_s50_AB02 100001 100000 100005 100001
mcs10_m2Dr6_s50_AB03 100000 100000 100006 100001
mcs10_m2Dr6_s50_AB04 100000 100000 100006 100001
mcs10_m2Dr6_s50_AB05 100000 100001 100005 100002
mcs10_m2Dr6_s50_AB06 100000 100000 100006 100001
mcs10_m2Dr6_s50_AB07 100000 100000 100006 100001
mcs10_m2Dr6_s50_AB08 100000 100000 100006 100001
mcs10_m2Dr6_s50_AB09 100000 100000 100006 100001
mcs10_r005_s20_AB00 179 8 54 13
mcs10_r005_s20_AB01 493 39 76 14
mcs10_r005_s20_AB02 256 15 57 14
mcs10_r005_s20_AB03 314 14 66 14
mcs10_r005_s20_AB04 142 2 50 9
mcs10_r005_s20_AB05 203 14 54 14
mcs10_r005_s20_AB06 266 4 61 11
mcs10_r005_s20_AB07 616 43 94 26
mcs10_r005_s20_AB08 170 16 50 11
mcs10_r005_s20_AB09 161 6 55 10
mcs10_r005_s25_AB00 14398 616 1069 141
mcs10_r005_s25_AB01 8676 146 484 33
mcs10_r005_s25_AB02 7320 162 231 18
mcs10_r005_s25_AB03 9774 342 567 43
mcs10_r005_s25_AB04 15706 146 825 17
mcs10_r005_s25_AB05 17073 118 1202 59
mcs10_r005_s25_AB06 13404 145 612 40
mcs10_r005_s25_AB07 6340 38 378 14
mcs10_r005_s25_AB08 12897 193 830 82
mcs10_r005_s25_AB09 21165 352 1256 77
mcs10_r005_s30_AB00 100000 5613 27436 155
mcs10_r005_s30_AB01 100000 1651 25716 150
mcs10_r005_s30_AB02 100000 3248 16586 156
mcs10_r005_s30_AB03 100000 2411 42487 222
mcs10_r005_s30_AB04 100000 1144 32705 120
mcs10_r005_s30_AB05 100000 1233 25149 75
mcs10_r005_s30_AB06 100000 2202 27131 224
mcs10_r005_s30_AB07 100000 2555 25485 378
mcs10_r005_s30_AB08 100000 2157 14634 89
mcs10_r005_s30_AB09 100000 3064 19340 243
mcs10_r005_s35_AB00 100000 15958 100004 1040
mcs10_r005_s35_AB01 100000 14079 100004 1562
mcs10_r005_s35_AB02 100000 22046 100004 1788
mcs10_r005_s35_AB03 100000 17633 100004 1482
mcs10_r005_s35_AB04 100000 50748 100004 4452
mcs10_r005_s35_AB05 100000 46630 100004 6118
mcs10_r005_s35_AB06 100000 41210 100005 4968
mcs10_r005_s35_AB07 100000 32994 100005 3110
mcs10_r005_s35_AB08 100000 48268 100004 4555
mcs10_r005_s35_AB09 100000 32004 100004 1067
mcs10_r005_s40_AB00 100000 100000 100005 31221
mcs10_r005_s40_AB01 100000 100000 100004 64196
mcs10_r005_s40_AB02 100000 100000 100004 45349
mcs10_r005_s40_AB03 100000 100000 100005 65117
mcs10_r005_s40_AB04 100000 100000 100005 79917
mcs10_r005_s40_AB05 100000 100000 100005 72613
mcs10_r005_s40_AB06 100000 100000 100005 50491
mcs10_r005_s40_AB07 100000 100000 100004 38199
mcs10_r005_s40_AB08 100000 100000 100005 15536
mcs10_r005_s40_AB09 100000 100000 100005 80097
mcs10_r005_s50_AB00 100000 100000 100006 100002
mcs10_r005_s50_AB01 100001 100000 100006 100002
mcs10_r005_s50_AB02 100000 100000 100005 100001
mcs10_r005_s50_AB03 100000 100000 100006 100001
mcs10_r005_s50_AB04 100000 100000 100006 100001
mcs10_r005_s50_AB05 100000 100000 100007 100002
mcs10_r005_s50_AB06 100000 100000 100007 100001
mcs10_r005_s50_AB07 100000 100000 100005 100001
mcs10_r005_s50_AB08 100000 100000 100006 100002
mcs10_r005_s50_AB09 100001 100000 100006 100002
mcs10_r01_s20_AB00 793 64 74 17
mcs10_r01_s20_AB01 1459 58 112 16
mcs10_r01_s20_AB02 692 35 77 18
mcs10_r01_s20_AB03 557 14 69 14
mcs10_r01_s20_AB04 735 15 80 13
mcs10_r01_s20_AB05 634 15 66 11
mcs10_r01_s20_AB06 643 25 67 18
mcs10_r01_s20_AB07 646 16 79 15
mcs10_r01_s20_AB08 575 33 78 17
mcs10_r01_s20_AB09 522 10 75 13
mcs10_r01_s25_AB00 43344 812 1855 71
mcs10_r01_s25_AB01 29205 428 1349 54
mcs10_r01_s25_AB02 34573 863 1621 73
mcs10_r01_s25_AB03 33740 581 1498 55
mcs10_r01_s25_AB04 37711 751 1627 70
mcs10_r01_s25_AB05 42926 694 1795 80
mcs10_r01_s25_AB06 19852 367 887 33
mcs10_r01_s25_AB07 36079 712 1593 53
mcs10_r01_s25_AB08 39352 513 1763 57
mcs10_r01_s25_AB09 31406 519 1284 69
mcs10_r01_s30_AB00 100000 13454 96740 1820
mcs10_r01_s30_AB01 100000 8507 57722 708
mcs10_r01_s30_AB02 100000 9742 52378 890
mcs10_r01_s30_AB03 100000 13730 81856 1734
mcs10_r01_s30_AB04 100000 8223 34786 1262
mcs10_r01_s30_AB05 100000 11082 48470 1080
mcs10_r01_s30_AB06 100000 12362 71317 1550
mcs10_r01_s30_AB07 100000 7772 43504 871
mcs10_r01_s30_AB08 100000 16442 75807 1919
mcs10_r01_s30_AB09 100000 13717 59763 1413
mcs10_r01_s35_AB00 100000 100000 100004 20770
mcs10_r01_s35_AB01 100000 100000 100004 29668
mcs10_r01_s35_AB02 100000 100000 100004 23742
mcs10_r01_s35_AB03 100000 100000 100004 26041
mcs10_r01_s35_AB04 100000 100000 100004 20483
mcs10_r01_s35_AB05 100000 100000 100005 25509
mcs10_r01_s35_AB06 100000 69431 100004 7592
mcs10_r01_s35_AB07 100000 100000 100004 42581
mcs10_r01_s35_AB08 100000 100000 100004 26041
mcs10_r01_s35_AB09 100000 100000 100004 35151
mcs10_r01_s40_AB00 100000 100000 100005 100002
mcs10_r01_s40_AB01 100000 100000 100005 100002
mcs10_r01_s40_AB02 100000 100000 100005 100001
mcs10_r01_s40_AB03 100000 100000 100005 100002
mcs10_r01_s40_AB04 100000 100000 100005 100001
mcs10_r01_s40_AB05 100000 100000 100005 100001
mcs10_r01_s40_AB06 100000 100000 100004 100001
mcs10_r01_s40_AB07 100000 100000 100005 100002
mcs10_r01_s40_AB08 100000 100000 100004 100001
mcs10_r01_s40_AB09 100000 100000 100005 100001
mcs10_r01_s50_AB00 100000 100000 100006 100002
mcs10_r01_s50_AB01 100000 100000 100006 100002
mcs10_r01_s50_AB02 100001 100000 100006 100001
mcs10_r01_s50_AB03 100000 100000 100005 100002
mcs10_r01_s50_AB04 100000 100000 100005 100002
mcs10_r01_s50_AB05 100000 100000 100006 100001
mcs10_r01_s50_AB06 100000 100000 100005 100001
mcs10_r01_s50_AB07 100000 100000 100006 100001
mcs10_r01_s50_AB08 100000 100000 100005 100001
mcs10_r01_s50_AB09 100000 100000 100006 100001
mcs10_r02_s20_AB00 552 214 63 43
mcs10_r02_s20_AB01 296 99 51 28
mcs10_r02_s20_AB02 384 75 54 28
mcs10_r02_s20_AB03 432 119 60 36
mcs10_r02_s20_AB04 426 176 66 38
mcs10_r02_s20_AB05 459 277 58 52
mcs10_r02_s20_AB06 335 136 56 33
mcs10_r02_s20_AB07 479 144 61 43
mcs10_r02_s20_AB08 447 125 62 37
