instance clique james-cpp-max kdown clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32 kdown-par/t4 kdown-par/t8 kdown-par/t16 kdown-par/t32 kdown-par/t64 clique-cilk/t32 kdown-cilk/t32 clique-cilk/t32r kdown-cilk/t32r kdown-par/t32r james-cpp-max-par/t32r
mcs10_b03_s40_AB00 100000 30103 100000 100003 100004 100005 100008 100005 5361 2985 2397 100000 100000 100001 100003 100007 100001 100002 100001 100002 100002 2390
mcs10_b03_s40_AB01 100000 9185 100000 100003 100003 100004 100007 100005 2375 1588 1457 100000 100000 100001 100003 100007 100001 91626 100001 92520 100003 1390
mcs10_b03_s40_AB02 100000 100000 100000 100003 100004 100005 100006 100005 13171 5105 2528 100000 100001 100001 100002 100007 100001 100002 100001 100002 100003 3353
mcs10_b03_s40_AB03 100000 25908 100000 100003 100003 100005 100007 100005 4224 3406 1859 100000 100000 100001 100002 100006 100001 100002 100001 100002 100002 1666
mcs10_b03_s40_AB04 100000 14284 100000 100003 100003 100006 100007 100005 3358 1534 1237 100000 100000 100001 100002 100007 100001 100002 100001 100002 100003 1295
mcs10_b03_s40_AB05 100000 16623 100000 100003 100003 100005 100006 100005 2894 1565 1239 100000 100000 100001 100002 100007 100001 100002 100001 100002 100002 1230
mcs10_b03_s40_AB06 100000 21467 100000 100003 100003 100005 100007 100006 4369 2354 1924 100000 100000 100001 100002 100007 100001 100002 100001 100002 100002 1995
mcs10_b03_s40_AB07 100001 100000 100000 100003 100004 100005 100007 100005 47693 24117 17781 100000 100000 100001 100003 100007 100001 100002 100001 100002 100003 18309
mcs10_b03_s40_AB08 100000 22664 100000 100003 100003 100005 100006 100005 8225 6797 6358 100000 100000 100001 100003 100007 100001 100002 100001 100002 100003 6323
mcs10_b03_s40_AB09 100000 23715 100000 100003 100004 100006 100007 100005 5112 2787 2076 100000 100000 100001 100002 100007 100001 100002 100001 100002 100002 2063
mcs10_b03_s50_AB00 100001 100000 100000 100004 100005 100005 100008 100006 100000 100001 100001 100000 100000 100001 100003 100007 100002 100002 100002 100002 100002 100001
mcs10_b03_s50_AB01 100001 100000 100000 100004 100004 100006 100008 100006 90515 43466 44193 100000 100000 100001 100002 100007 100002 100002 100002 100002 100002 45089
mcs10_b03_s50_AB02 100001 100000 100000 100004 100005 100006 100007 100006 100000 74273 54801 100000 100000 100001 100002 100006 100002 100003 100002 100003 100002 77613
mcs10_b03_s50_AB03 100001 100000 100000 100004 100004 100006 100007 100006 100000 68540 45142 100000 100000 100001 100003 100007 100002 100002 100002 100002 100002 41225
mcs10_b03_s50_AB04 100001 100000 100000 100004 100004 100006 100010 100006 100000 100000 100001 100000 100000 100001 100002 100007 100003 100002 100003 100002 100003 98922
mcs10_b03_s50_AB05 100001 100000 100000 100004 100005 100006 100009 100006 100000 100001 100002 100000 100000 100001 100003 100007 100002 100002 100002 100002 100003 99222
mcs10_b03_s50_AB06 100001 100000 100000 100004 100005 100006 100008 100006 100000 100000 100001 100000 100000 100001 100003 100007 100002 100002 100002 100002 100003 100001
mcs10_b03_s50_AB07 100000 100000 100000 100005 100005 100006 100009 100006 100000 100001 100002 100000 100000 100001 100002 100007 100003 100002 100003 100003 100003 100001
mcs10_b03_s50_AB08 100000 100000 100000 100004 100005 100006 100008 100006 100000 82205 56694 100000 100000 100001 100003 100007 100003 100002 100002 100002 100003 53927
mcs10_b03_s50_AB09 100000 100000 100000 100004 100005 100006 100008 100006 100000 100001 81976 100000 100000 100001 100002 100007 100003 100002 100003 100003 100002 84086
mcs10_b03m_s40_AB00 100000 12123 100000 100003 100003 100005 100007 100005 1797 1276 1003 100000 100000 100001 100002 100007 100000 100002 100001 100002 100003 1093
mcs10_b03m_s40_AB01 100000 84636 100000 100003 100003 100005 100007 100005 12917 8957 4248 100000 100000 100001 100002 100007 100001 100002 100001 100002 100003 5584
mcs10_b03m_s40_AB02 100000 7145 100000 100003 100004 100005 100007 100005 1043 608 292 100000 100000 83678 55866 40414 100001 40584 100001 35049 59884 415
mcs10_b03m_s40_AB03 100001 42420 100000 100003 100003 100004 100007 100004 8942 5214 4761 100000 100000 100001 100002 100006 100001 100003 100001 100002 100003 4713
mcs10_b03m_s40_AB04 100000 11790 100000 100003 100003 100006 100006 100005 2197 1556 1346 100000 100000 100001 100002 100007 100001 55021 100001 60695 100002 1197
mcs10_b03m_s40_AB05 100000 63038 100000 100003 100003 100004 100007 100005 12125 5280 3322 100000 100000 100001 100003 100007 100001 100002 100001 100004 100003 3395
mcs10_b03m_s40_AB06 100000 20404 100000 100003 100003 100005 100007 100005 2963 1772 1341 100000 100000 100001 100002 100007 100001 100002 100001 100002 100003 1330
mcs10_b03m_s40_AB07 100000 27483 100000 100003 100003 100005 100007 100005 7267 4548 3845 100000 100000 100001 100002 100007 100001 100003 100001 100002 100002 3963
mcs10_b03m_s40_AB08 100000 39361 100000 100002 100003 100005 100007 100006 13287 7200 5258 100000 100000 100001 100003 100006 100001 100002 100001 100002 100003 5523
mcs10_b03m_s40_AB09 100000 11726 100000 100003 100003 100005 100007 100004 1611 909 576 100000 100000 82114 56117 40510 100001 12421 100000 15148 52324 587
mcs10_b03m_s50_AB00 100000 100000 100000 100004 100005 100007 100009 100006 99290 49112 31562 100000 100000 100001 100003 100007 100003 100002 100003 100002 100003 28888
