instance kdown james-cpp-max-down
F.04 138 855
C.18 12844 36682
A.04 9 582
C.02 15541 80544
E.01 NaN NaN
F.20 35 899
B.20 15238 38051
C.08 NaN 16344244
B.11 177 2549
C.10 NaN 1214947
B.06 1552 7474
F.08 171 878
B.07 3594 22185
E.04 NaN NaN
C.01 NaN 452572
B.10 606 5565
A.15 68 980
C.19 NaN 244576
B.02 7382 25088
E.06 NaN NaN
E.18 NaN NaN
C.20 NaN 85067
F.02 142 848
F.11 38 890
F.12 35 916
E.05 NaN NaN
B.16 107 2000
A.08 439 1729
C.14 1269 8417
F.16 23 907
F.06 471 881
A.03 460 1927
E.19 NaN NaN
C.15 NaN 1360514
A.16 90 1177
B.14 NaN 504295
A.02 107 1318
F.14 75 891
F.05 128 895
B.09 932 6984
A.01 231 1260
C.05 45476 15994
B.01 NaN 180133
A.09 87 1094
A.07 210 1825
F.03 173 852
E.12 NaN NaN
C.06 19741 58631
C.09 1928 10627
B.17 20580 45815
C.07 NaN 32640
E.09 NaN NaN
E.17 NaN NaN
C.11 NaN 6636193
F.10 NaN NaN
A.17 37 678
B.15 913 6482
E.03 NaN NaN
F.19 22 902
A.12 43 900
B.08 35834 84918
F.17 442 854
C.04 NaN NaN
B.19 8023 30063
C.16 NaN 3143990
C.17 NaN 1941467
E.08 NaN NaN
F.13 132 921
A.20 126 1339
E.02 NaN NaN
E.16 NaN NaN
B.12 NaN 261747
F.09 169 1182
A.10 473 2604
F.18 25 878
E.10 270 846
A.06 89 1178
E.15 NaN NaN
E.07 NaN NaN
E.11 NaN NaN
B.03 4319 4896
B.18 113 2342
C.03 35068 36615
A.18 188 1333
F.15 75 868
A.19 232 1910
C.12 NaN 1387755
B.05 31205 43079
A.13 336 1223
A.05 42 827
F.01 44 848
E.20 NaN NaN
B.13 12665 31042
A.14 792 3594
B.04 10348 40004
C.13 10318 11978
F.07 259 876
E.13 NaN NaN
E.14 NaN NaN
A.11 15 620
si6_r005_m400.07 36386 10576
si6_r005_m400.00 29818 21141
si6_r005_m400.01 7916 8022
si6_r005_m400.02 4962 6117
si6_r005_m400.04 7551 3722
si6_r005_m400.05 45112 3092
si6_r005_m400.09 1835 1309
si6_r005_m400.03 9239 1752
si6_r005_m400.06 3751 2177
si6_r005_m400.08 6337 11719
si6_m4Dr6_m625.04 9 1433
si6_m4Dr6_m625.01 9 1411
si6_m4Dr6_m625.09 9 1463
si6_m4Dr6_m625.07 13 1414
si6_m4Dr6_m625.00 16 1471
si6_m4Dr6_m625.08 62 1655
si6_m4Dr6_m625.05 25 1567
si6_m4Dr6_m625.06 4 1394
si6_m4Dr6_m625.02 12 1479
si6_m4Dr6_m625.03 5 1401
si4_m4Dr2_m625.09 34 1570
si4_m4Dr2_m625.04 683 8284
si4_m4Dr2_m625.02 34 1312
