instance kdown james-cpp-max-down kdown-par/t32 james-cpp-max-down-par/t32 kdown-par/t32r kdown-cilk/t32 kdown-cilk/t32r
F.04 387 4 28 5 28 69 71
C.18 27075 86 2094 35 2133 2065 2422
A.04 30 1 13 3 13 38 29
C.02 34395 148 4299 34 4519 3917 4309
E.01 100000 100000 100003 100003 100003 100040 100046
F.20 216 4 34 6 36 63 61
B.20 16162 54 1592 17 1597 1895 2298
C.08 100001 30507 100009 70 100009 100041 100041
B.11 505 11 119 13 124 236 262
C.10 100001 2248 8297 550 10913 10789 14298
B.06 1562 17 166 13 152 299 323
F.08 402 3 40 5 25 74 76
B.07 3694 32 226 17 295 482 468
E.04 100000 100001 100003 100001 100003 100054 100040
C.01 100001 992 15379 41 14704 36744 35842
B.10 1327 15 184 13 169 295 304
A.15 48 1 17 4 19 39 40
C.19 100001 534 48213 51 47888 100037 100041
B.02 5947 37 290 14 461 778 787
E.06 100000 100001 100003 100002 100003 100140 100008
E.18 100000 100001 100002 100002 100002 100086 100078
C.20 100001 177 11985 50 13030 18943 14771
F.02 676 4 24 5 26 74 84
F.11 178 4 29 6 25 63 57
F.12 232 4 30 6 38 78 64
E.05 100000 100000 100003 100002 100003 100023 100032
B.16 388 11 201 13 194 293 314
A.08 135 2 18 6 25 45 82
C.14 3453 37 1019 29 936 1312 1287
F.16 218 4 31 6 29 63 73
F.06 583 3 32 5 41 86 88
A.03 159 2 25 4 23 44 53
E.19 100000 100000 100003 100003 100003 100174 100166
C.15 100002 2548 100009 95 100010 100039 100038
A.16 62 1 14 4 13 41 31
B.14 100001 749 3468 26 3105 37671 30713
A.02 68 2 19 4 20 35 39
F.14 159 4 26 5 23 76 77
F.05 371 4 33 5 35 78 80
B.09 1536 17 175 16 183 326 324
A.01 85 1 20 4 20 37 39
C.05 96781 52 10710 33 11251 13298 12695
B.01 100000 233 1161 23 1447 1284 1566
A.09 60 1 17 5 15 50 63
A.07 124 2 20 5 21 44 52
F.03 289 4 32 6 28 87 70
E.12 100000 100001 100003 100003 100003 100063 100069
C.06 43963 120 5865 36 5932 4677 4607
C.09 5920 42 1186 33 1107 1428 1342
B.17 18684 65 242 14 250 1626 1591
C.07 100001 130 43481 35 44275 19739 56330
E.09 100000 100001 100003 100002 100003 100041 100055
E.17 100000 100000 100003 100002 100003 100079 100095
C.11 100001 12307 100010 720 100011 100051 100046
F.10 100000 100001 100004 100003 100003 100083 100078
A.17 61 1 13 3 14 43 45
B.15 1492 19 181 13 197 321 324
E.03 100000 100000 100003 100001 100004 100130 100145
F.19 215 5 25 5 26 63 64
A.12 42 1 16 3 15 44 43
B.08 31787 110 2029 27 1986 2443 720
F.17 696 3 22 6 31 75 74
C.04 100001 100005 100012 25482 100011 100066 100066
B.19 7237 45 508 17 467 843 834
C.16 100001 5658 100008 68 100009 100037 100036
C.17 100002 3693 11626 52 11508 11931 21642
E.08 100000 100001 100003 100002 100003 100122 100102
F.13 300 3 50 6 35 85 75
A.20 69 2 15 4 18 46 36
E.02 100000 100001 100003 100003 100003 100129 100123
E.16 100000 100000 100002 100002 100003 100016 100019
B.12 100000 329 20791 35 24903 33263 36135
F.09 337 4 32 6 31 72 78
A.10 175 2 27 5 30 50 57
F.18 272 3 30 5 28 64 73
E.10 936 5 26 5 26 73 84
A.06 58 1 16 4 21 39 42
E.15 100000 100000 100003 100003 100003 100027 100036
E.07 100000 100001 100003 100003 100003 100046 100039
E.11 100000 100000 100003 100002 100003 100081 100087
B.03 4279 18 135 14 129 370 495
B.18 411 11 172 13 197 289 318
C.03 76660 145 11907 39 10131 7718 6973
A.18 79 2 16 4 15 43 33
F.15 192 3 28 5 25 69 75
A.19 131 3 16 4 21 35 41
C.12 100001 2452 1503 76 1635 100043 100041
B.05 31561 64 1185 21 1137 2397 1860
A.13 100 2 17 4 19 64 49
A.05 44 1 17 3 17 51 35
F.01 326 3 24 5 24 59 66
E.20 100000 100001 100003 100002 100003 100080 100069
B.13 11611 45 642 14 622 1168 1106
A.14 304 11 51 6 52 71 73
B.04 9039 70 1504 18 1389 1069 1572
C.13 24835 44 2115 31 2032 2687 2716
F.07 386 7 23 5 33 73 77
E.13 100000 100000 100003 100002 100003 100028 100040
E.14 100000 100001 100003 100002 100003 100039 100033
A.11 31 1 16 4 16 45 52
si6_r005_m400.07 14428 19 1320 10 1399 1418 1381
si6_r005_m400.00 12221 53 1139 9 1145 1201 1211
si6_r005_m400.01 5297 17 511 7 478 567 563
si6_r005_m400.02 3428 12 314 7 344 383 384
si6_r005_m400.04 4509 8 444 9 426 477 497
si6_r005_m400.05 18468 7 1571 67 1594 1619 1610
si6_r005_m400.09 2143 6 205 12 206 253 263
si6_r005_m400.03 6463 7 571 22 577 625 645
